date,total_pickup,is_holiday,is_weekend,season,temp,humidity,precip,precipprob,snow,windgust,windspeed,cloudcover,visibility,severerisk,icon
2020-05-01,2969,0,0,2,14.9,69.6,2.607,100,0.0,38.9,25.7,66.7,16.0,-1.0,rain
2020-05-02,9028,0,1,2,16.3,54.0,0.0,0,0.0,39.6,26.1,30.2,15.9,-1.0,partly-cloudy-day
2020-05-03,3663,0,1,2,18.6,72.5,10.234,100,0.0,46.8,21.4,71.7,15.2,-1.0,rain
2020-05-04,3718,0,0,2,19.2,53.8,15.555,100,0.0,68.8,44.9,50.3,15.2,-1.0,rain
2020-05-05,2374,0,0,2,12.3,55.6,4.488,100,0.0,28.4,24.0,81.0,15.2,-1.0,rain
2020-05-06,1385,0,0,2,11.2,80.9,1.657,100,0.0,42.7,27.0,79.1,13.4,-1.0,rain
2020-05-07,3935,0,0,2,13.3,50.5,0.46,100,0.0,53.6,24.7,33.9,15.9,-1.0,rain
2020-05-08,1818,0,0,2,14.0,56.5,3.255,100,0.0,69.5,40.0,62.9,15.9,-1.0,rain
2020-05-09,2913,0,1,2,6.8,41.9,0.0,0,0.0,64.3,40.8,40.5,16.0,-1.0,partly-cloudy-day
2020-05-10,5827,0,1,2,11.1,44.9,0.0,0,0.0,39.9,30.4,22.4,16.0,-1.0,partly-cloudy-day
2020-05-11,2259,0,0,2,12.6,53.2,0.479,100,0.0,56.5,38.9,73.9,16.0,-1.0,rain
2020-05-12,3028,0,0,2,11.8,42.6,0.0,0,0.0,46.0,26.4,62.9,16.0,-1.0,partly-cloudy-day
2020-05-13,4145,0,0,2,14.4,45.9,0.0,0,0.0,35.6,16.7,28.4,16.0,-1.0,partly-cloudy-day
2020-05-14,3610,0,0,2,16.1,68.4,0.552,100,0.0,31.7,19.7,62.0,15.9,-1.0,rain
2020-05-15,5818,0,0,2,22.8,65.6,0.036,100,0.0,47.4,32.4,53.0,16.0,-1.0,rain
2020-05-16,9019,0,1,2,23.3,56.8,0.0,0,0.0,32.0,20.3,55.3,16.0,-1.0,partly-cloudy-day
2020-05-17,5659,0,1,2,18.0,72.6,0.0,0,0.0,37.1,19.7,71.1,16.0,-1.0,partly-cloudy-day
2020-05-18,2941,0,0,2,16.6,77.4,0.0,0,0.0,41.4,27.8,96.6,14.5,-1.0,cloudy
2020-05-19,3202,0,0,2,16.6,48.4,0.0,0,0.0,61.0,40.4,62.5,16.0,-1.0,partly-cloudy-day
2020-05-20,3417,0,0,2,14.0,56.0,0.0,0,0.0,47.3,33.9,83.1,16.0,-1.0,partly-cloudy-day
2020-05-21,3730,0,0,2,15.9,71.5,0.0,0,0.0,39.2,26.1,86.3,16.0,-1.0,partly-cloudy-day
2020-05-22,3058,0,0,2,19.5,86.3,13.88,100,0.0,28.4,19.5,83.6,13.0,-1.0,rain
2020-05-23,9172,0,1,2,22.8,72.3,7.761,100,0.0,33.3,22.9,61.5,15.6,-1.0,rain
2020-05-24,6339,0,1,2,18.0,82.3,0.0,0,0.0,32.8,20.9,94.2,15.8,-1.0,cloudy
2020-05-25,8857,1,0,2,19.7,73.6,0.0,0,0.0,19.1,14.0,67.8,16.0,-1.0,partly-cloudy-day
2020-05-26,4927,0,0,2,21.2,77.0,0.0,0,0.0,25.9,16.1,53.8,15.8,-1.0,partly-cloudy-day
2020-05-27,4802,0,0,2,22.2,79.2,0.0,0,0.0,29.2,17.5,67.3,15.8,-1.0,partly-cloudy-day
2020-05-28,3471,0,0,2,23.8,88.6,2.032,100,0.0,44.3,25.5,84.4,14.8,-1.0,rain
2020-05-29,5615,0,0,2,26.0,80.1,0.0,0,0.0,44.6,30.3,75.5,15.2,-1.0,partly-cloudy-day
2020-05-30,10739,0,1,2,24.3,55.7,0.278,100,0.0,50.0,32.7,49.2,16.0,-1.0,rain
2020-05-31,7613,0,1,2,20.4,39.5,0.0,0,0.0,41.6,28.5,36.8,16.0,-1.0,partly-cloudy-day
2020-06-01,5013,0,0,3,18.5,40.2,0.0,0,0.0,31.7,21.1,36.0,16.0,-1.0,partly-cloudy-day
2020-06-02,5386,0,0,3,19.3,58.2,0.0,0,0.0,31.3,21.8,69.2,16.0,-1.0,partly-cloudy-day
2020-06-03,6515,0,0,3,26.6,59.9,0.0,0,0.0,42.5,28.5,64.1,16.0,-1.0,partly-cloudy-day
2020-06-04,5165,0,0,3,27.6,61.4,10.208,100,0.0,79.6,20.2,51.2,15.7,-1.0,rain
2020-06-05,5044,0,0,3,24.8,81.5,36.408,100,0.0,35.3,24.1,64.4,15.4,-1.0,rain
2020-06-06,15482,0,1,3,27.1,67.3,0.022,100,0.0,43.9,25.6,57.7,16.0,-1.0,rain
2020-06-07,10635,0,1,3,24.3,47.0,0.022,100,0.0,32.8,23.2,40.5,16.0,-1.0,rain
2020-06-08,7018,0,0,3,22.9,50.4,0.0,0,0.0,22.7,19.4,24.0,16.0,-1.0,partly-cloudy-day
2020-06-09,6756,0,0,3,25.4,67.3,0.0,0,0.0,27.7,22.8,55.5,16.0,-1.0,partly-cloudy-day
2020-06-10,5411,0,0,3,27.8,75.4,0.0,0,0.0,48.6,35.9,70.8,16.0,-1.0,partly-cloudy-day
2020-06-11,4700,0,0,3,26.4,73.6,9.136,100,0.0,45.8,26.9,79.4,15.0,-1.0,rain
2020-06-12,7424,0,0,3,26.2,44.8,0.0,0,0.0,31.7,19.8,40.5,16.0,-1.0,partly-cloudy-day
2020-06-13,12100,0,1,3,22.6,45.5,0.0,0,0.0,29.9,22.7,34.3,16.0,-1.0,partly-cloudy-day
2020-06-14,10335,0,1,3,21.1,49.2,0.0,0,0.0,31.7,23.0,56.8,16.0,-1.0,partly-cloudy-day
2020-06-15,6042,0,0,3,21.0,55.7,0.0,0,0.0,38.9,24.8,67.2,16.0,-1.0,partly-cloudy-day
2020-06-16,6203,0,0,3,21.1,55.2,0.0,0,0.0,43.2,28.1,67.3,16.0,-1.0,partly-cloudy-day
2020-06-17,2897,0,0,3,20.0,81.1,20.202,100,0.0,50.4,27.6,88.6,14.0,-1.0,rain
